#MURAM HIGH RES FROM SOWMYA
wavelength i10 i09 i08 i07 i06 i05 i04 i03 i02
430.05023 6.841888767863148e-06 6.565976911626172e-06 6.267180135553724e-06 5.950913522447722e-06 5.609821993547969e-06 5.235147572858016e-06 4.8168445676016e-06 4.335023779081446e-06 3.7572036387155638e-06
430.05109 7.763371768804372e-06 7.427066406322664e-06 7.068410337177353e-06 6.697289290081283e-06 6.3062303012482564e-06 5.886065641626637e-06 5.425739694725343e-06 4.904753667660023e-06 4.285713067153822e-06
430.05195 8.705810352746923e-06 8.290936193037696e-06 7.859750114759416e-06 7.424139824374127e-06 6.975592471385319e-06 6.504379880710384e-06 5.99999845286054e-06 5.441590150824168e-06 4.786429149118402e-06
430.05281 9.657284025018832e-06 9.15300284529342e-06 8.64051616841209e-06 8.132054292764111e-06 7.618129368516869e-06 7.088466869340324e-06 6.533345255445659e-06 5.9308999755105346e-06 5.234924645457309e-06
430.05367 1.0603756266749682e-05 1.0006359673542086e-05 9.409119620983198e-06 8.823085477387406e-06 8.237936179928207e-06 7.643119732170028e-06 7.028988460728544e-06 6.373420060722534e-06 5.627421034149977e-06
430.05453 1.1534362401471972e-05 1.0844994336344123e-05 1.0163028041050724e-05 9.49731631895398e-06 8.837501753366149e-06 8.172346635278282e-06 7.492383039587998e-06 6.775739585595012e-06 5.9706931269133735e-06
430.05539 1.2441898248073131e-05 1.1664132385511569e-05 1.0899147402874413e-05 1.0153287982143423e-05 9.417085758560399e-06 8.678391833148109e-06 7.927968036626669e-06 7.144397670214558e-06 6.2734793565187994e-06
430.05625 1.3320835578556604e-05 1.2459064560423106e-05 1.161360399447054e-05 1.0788599222351234e-05 9.975225953131304e-06 9.161060376070174e-06 8.337735002802074e-06 7.483438786974108e-06 6.542612617647813e-06
430.05711 1.416480216523159e-05 1.3223488599688646e-05 1.2300303156056984e-05 1.1397636713779387e-05 1.050718417922408e-05 9.616977144724046e-06 8.72010650108481e-06 7.794070791323001e-06 6.782766959012763e-06
430.05797 1.4964516897288919e-05 1.3947283724349333e-05 1.2948534972022484e-05 1.1969839928195192e-05 1.1003708167047692e-05 1.0039043252009008e-05 9.070363552007132e-06 8.074800056722423e-06 6.995767392840445e-06
430.05883 1.5705268645046322e-05 1.4613832919878209e-05 1.3540970891505371e-05 1.2488321009440636e-05 1.1449818203467478e-05 1.0415074688096734e-05 9.379558600194239e-06 8.320240472003887e-06 7.180106957841478e-06
430.05969 1.6362305160931064e-05 1.5196442781712864e-05 1.4051132043962566e-05 1.2928532708232176e-05 1.1823949862333179e-05 1.0727062993555336e-05 9.633609739686632e-06 8.52043400153949e-06 7.330147679214293e-06
430.06055 1.689546211230386e-05 1.565470549042398e-05 1.4441534372751787e-05 1.3257686335329372e-05 1.2098158529160504e-05 1.0951891513971872e-05 9.81399610795138e-06 8.661239338496998e-06 7.43607755134579e-06
430.06141 1.724327588825249e-05 1.5933130981314527e-05 1.4665055223182632e-05 1.3436713088705614e-05 1.2240389768580057e-05 1.106346763948247e-05 9.899827795913689e-06 8.726314910734842e-06 7.48561033655106e-06
430.06227 1.7323991842725755e-05 1.5967746116560548e-05 1.4672214878074753e-05 1.3427118227378647e-05 1.2220485625499498e-05 1.1038010039846884e-05 9.872240125198317e-06 8.700550391894898e-06 7.4662836077391094e-06
430.06313 1.7060547507325e-05 1.57082516253185e-05 1.4429173528857742e-05 1.320539847940082e-05 1.2021611605410848e-05 1.0862786152667584e-05 9.721077829178644e-06 8.57497405910307e-06 7.369416973915643e-06
430.06399 1.6439989930042286e-05 1.5157391134533268e-05 1.3945533819050744e-05 1.2783085529005022e-05 1.1654705931733754e-05 1.0546751462414154e-05 9.452687964859268e-06 8.353288255968946e-06 7.196334568662821e-06
430.06485 1.5567165025636838e-05 1.4404118041412905e-05 1.3295205881786243e-05 1.2220623869210573e-05 1.1168400515640266e-05 1.0128437183775569e-05 9.097033357877205e-06 8.058656709421434e-06 6.964963742784965e-06
430.06571 1.4646511157762817e-05 1.3610561067752303e-05 1.2607098916909084e-05 1.1621609476168714e-05 1.064692255996476e-05 9.677052453927353e-06 8.711259419134366e-06 7.737832939746434e-06 6.712354251112762e-06
430.06657 1.389112852209411e-05 1.294748334048907e-05 1.2020886868278048e-05 1.1102774610444385e-05 1.0189815288691476e-05 9.278470284487298e-06 8.369247468292215e-06 7.4522462598104926e-06 6.4857143242846195e-06
430.06743 1.342686028750511e-05 1.252099347869934e-05 1.1631191051823985e-05 1.0749884515933416e-05 9.874695185429058e-06 9.001963013275849e-06 8.130929691992666e-06 7.2513261331553045e-06 6.322563228107187e-06
430.06829 1.32539003470262e-05 1.234427229003056e-05 1.1460359451841897e-05 1.0589895439283861e-05 9.729176490111362e-06 8.872842871453702e-06 8.017785417493363e-06 7.152468574541612e-06 6.236888542036586e-06
430.06915 1.3297177497675214e-05 1.2370653754159012e-05 1.1477509460657438e-05 1.0600962134886712e-05 9.736151952734161e-06 8.876206856182288e-06 8.016390583020807e-06 7.1446140165290654e-06 6.221252994786365e-06
430.07001 1.3491904409723223e-05 1.2549040250965738e-05 1.1639156348007857e-05 1.074464302027399e-05 9.860936134965617e-06 8.980706995154981e-06 8.099092567225466e-06 7.204685851428935e-06 6.258411339333854e-06
430.07087 1.3815300871371234e-05 1.2850419144529173e-05 1.191395426041617e-05 1.0989641816228339e-05 1.0073717683530706e-05 9.159241832694429e-06 8.242454341585704e-06 7.313144804494764e-06 6.332987602399037e-06
430.07173 1.4257479686802136e-05 1.325659373911626e-05 1.2280371723644585e-05 1.1313691911176466e-05 1.0353453571787597e-05 9.393396786123075e-06 8.431293046663844e-06 7.457890870535707e-06 6.43513904758541e-06
430.07259 1.479168070770978e-05 1.3741780247470015e-05 1.2713888775263743e-05 1.1693837568589859e-05 1.0679591858586184e-05 9.665766055096664e-06 8.65160814541182e-06 7.62814387555497e-06 6.556907650876844e-06
430.07345 1.5374767576530977e-05 1.4268839554120617e-05 1.3180795375160153e-05 1.209951238515098e-05 1.1025012067348758e-05 9.9531029647811e-06 8.884254985988522e-06 7.809295255638026e-06 6.688327009888785e-06
430.07431 1.5960861870958882e-05 1.4793261356793814e-05 1.3637796289285573e-05 1.2490485844804147e-05 1.1353836138078217e-05 1.0224568071222975e-05 9.103794507943081e-06 7.98158017041959e-06 6.8160339518031165e-06
430.07517 1.6500755416790907e-05 1.5258648108435528e-05 1.4028567826657713e-05 1.281519968574472e-05 1.1620954332954034e-05 1.0441783614302784e-05 9.278525373462408e-06 8.119960557255128e-06 6.922128030782585e-06
430.07603 1.6914333276790288e-05 1.557942538071096e-05 1.4275583915828612e-05 1.3007051980177128e-05 1.1770070432664359e-05 1.0557556664713784e-05 9.369307497116765e-06 8.1932581420453e-06 6.983910652419441e-06
430.07689 1.7047354608180173e-05 1.5626223017383605e-05 1.4275692518642842e-05 1.2982374015026548e-05 1.1732425375622139e-05 1.0515609634031298e-05 9.330860048183569e-06 8.165588852122423e-06 6.973612200401974e-06
430.07775 1.6668069171039055e-05 1.5241715161723485e-05 1.3912309247450964e-05 1.2650306100517886e-05 1.1435876059250782e-05 1.0258364682270427e-05 9.116832841335466e-06 7.998428768730148e-06 6.857764720658382e-06
430.07861 1.559305679463924e-05 1.4314687248058496e-05 1.3106318996287164e-05 1.1950986132670174e-05 1.0832958644246468e-05 9.746279471873989e-06 8.692543356443932e-06 7.65986267297704e-06 6.605596181123248e-06
430.07947 1.39120193299405e-05 1.2895149557265245e-05 1.1890824584650348e-05 1.0906955890991188e-05 9.93869060897818e-06 8.987517429291954e-06 8.060049318978796e-06 7.1483667357566395e-06 6.214115962895028e-06
430.08033 1.1988484388774682e-05 1.1219539631482347e-05 1.0435827870622608e-05 9.647377826119796e-06 8.853171768313175e-06 8.06127268821928e-06 7.284461961819538e-06 6.519875901843717e-06 5.730396481889041e-06
430.08119 1.017795822281581e-05 9.593985187959305e-06 8.999098873070435e-06 8.389634586738362e-06 7.763495836413625e-06 7.132452068263448e-06 6.511464791494844e-06 5.897354154923506e-06 5.246770642510595e-06
430.08205 8.710054398017406e-06 8.276403044548713e-06 7.8339610171036e-06 7.370470157903575e-06 6.886008597478249e-06 6.392617927291312e-06 5.900846246101861e-06 5.402088295047005e-06 4.8476863904338614e-06
430.08291 7.73155977389981e-06 7.4285122253389715e-06 7.104598533512349e-06 6.7439849929790844e-06 6.354427230102119e-06 5.948391129605098e-06 5.530604783408296e-06 5.089053771627812e-06 4.577886172919606e-06
430.08377 7.334767918528512e-06 7.1380952275148944e-06 6.877651589074546e-06 6.558134555247425e-06 6.200199903189659e-06 5.817654254854611e-06 5.412095719011251e-06 4.971445816518605e-06 4.456499140427746e-06
430.08463 7.639905765447442e-06 7.449305432194639e-06 7.156715002015212e-06 6.799159798483892e-06 6.404513893455058e-06 5.984259883363678e-06 5.536710250638714e-06 5.0501163546748404e-06 4.490837246891643e-06
