K0 100G vt1 mean contrast spectra for all mus -- with molecular opacities, fixed rows
wavelength   i10       i09         i08        i07       i06        i05        i04       i03
2.2450e+02 6.0566e-09 5.0010e-09 4.2094e-09 3.5820e-09 3.0716e-09 2.6480e-09 2.2572e-09 1.8645e-09 1.4522e-09
2.2550e+02 5.3857e-09 4.6048e-09 3.9998e-09 3.4999e-09 3.0761e-09 2.7003e-09 2.3362e-09 1.9546e-09 1.5437e-09
2.2650e+02 4.5610e-09 3.9683e-09 3.5009e-09 3.1075e-09 2.7631e-09 2.4457e-09 2.1249e-09 1.7812e-09 1.4111e-09
2.2750e+02 5.0785e-09 4.4422e-09 3.9459e-09 3.5241e-09 3.1553e-09 2.8129e-09 2.4622e-09 2.0795e-09 1.6546e-09
2.2850e+02 6.5565e-09 5.5283e-09 4.7437e-09 4.1099e-09 3.5865e-09 3.1339e-09 2.7035e-09 2.2567e-09 1.7740e-09
2.2950e+02 6.2975e-09 5.4850e-09 4.8517e-09 4.3208e-09 3.8597e-09 3.4381e-09 3.0153e-09 2.5628e-09 2.0590e-09
2.3050e+02 6.5027e-09 5.4949e-09 4.7196e-09 4.0927e-09 3.5730e-09 3.1215e-09 2.6887e-09 2.2368e-09 1.7569e-09
2.3150e+02 7.4385e-09 6.4246e-09 5.6346e-09 4.9747e-09 4.4082e-09 3.8991e-09 3.4031e-09 2.8764e-09 2.3005e-09
2.3250e+02 7.1447e-09 6.2576e-09 5.5465e-09 4.9409e-09 4.4075e-09 3.9159e-09 3.4214e-09 2.8872e-09 2.2971e-09
2.3350e+02 8.3660e-09 7.3992e-09 6.5975e-09 5.8970e-09 5.2665e-09 4.6839e-09 4.1039e-09 3.4864e-09 2.8075e-09
2.3450e+02 6.7642e-09 6.1560e-09 5.6231e-09 5.1267e-09 4.6507e-09 4.1860e-09 3.6945e-09 3.1529e-09 2.5599e-09
2.3550e+02 8.3221e-09 7.2482e-09 6.3698e-09 5.6245e-09 4.9745e-09 4.3851e-09 3.8035e-09 3.1840e-09 2.5135e-09
2.3650e+02 7.6832e-09 6.9852e-09 6.3735e-09 5.8062e-09 5.2614e-09 4.7322e-09 4.1744e-09 3.5595e-09 2.8816e-09
2.3750e+02 8.4721e-09 7.5963e-09 6.8452e-09 6.1694e-09 5.5421e-09 4.9495e-09 4.3383e-09 3.6731e-09 2.9399e-09
2.3850e+02 8.1860e-09 7.5946e-09 7.0655e-09 6.5498e-09 6.0318e-09 5.5073e-09 4.9319e-09 4.2902e-09 3.5736e-09
2.3950e+02 9.1148e-09 8.3349e-09 7.6426e-09 6.9956e-09 6.3680e-09 5.7539e-09 5.1024e-09 4.3838e-09 3.5839e-09
2.4050e+02 1.0806e-08 9.8818e-09 9.0730e-09 8.3151e-09 7.5850e-09 6.8756e-09 6.1302e-09 5.3190e-09 4.4151e-09
2.4150e+02 9.7434e-09 8.8940e-09 8.1625e-09 7.4809e-09 6.8273e-09 6.1868e-09 5.4996e-09 4.7394e-09 3.8836e-09
2.4250e+02 1.3378e-08 1.1639e-08 1.0240e-08 9.0494e-09 8.0146e-09 7.0912e-09 6.1903e-09 5.2499e-09 4.2216e-09
2.4350e+02 1.4349e-08 1.2583e-08 1.1154e-08 9.9253e-09 8.8445e-09 7.8734e-09 6.9173e-09 5.9168e-09 4.8101e-09
2.4450e+02 1.7397e-08 1.5014e-08 1.3115e-08 1.1519e-08 1.0155e-08 8.9634e-09 7.8346e-09 6.6840e-09 5.4289e-09
2.4550e+02 1.8669e-08 1.6114e-08 1.4091e-08 1.2393e-08 1.0943e-08 9.6772e-09 8.4789e-09 7.2528e-09 5.9130e-09
2.4650e+02 1.4843e-08 1.3144e-08 1.1770e-08 1.0581e-08 9.5223e-09 8.5456e-09 7.5527e-09 6.4803e-09 5.2762e-09
2.4750e+02 1.5295e-08 1.3770e-08 1.2533e-08 1.1442e-08 1.0440e-08 9.4944e-09 8.5122e-09 7.4383e-09 6.2135e-09
2.4850e+02 9.4147e-09 8.7953e-09 8.2436e-09 7.7094e-09 7.1732e-09 6.6141e-09 5.9738e-09 5.2504e-09 4.4277e-09
