wavelength i10 i09 i08 i07 i06 i05 i04 i03 i02
430.0184 3.6054834966048225e-06 3.5843413322655628e-06 3.550624199037756e-06 3.485180022577911e-06 3.3833994693354388e-06 3.243307613845606e-06 3.0591422175540974e-06 2.816333333821315e-06 2.4795654701757554e-06
430.01926 3.489103277971621e-06 3.4673516476793074e-06 3.4372005872148973e-06 3.3734801040971485e-06 3.270605261966462e-06 3.129051490302653e-06 2.9453254865354577e-06 2.7074775424400395e-06 2.384810034590153e-06
430.02012 3.5609987567566986e-06 3.5856924411207893e-06 3.5703949837467894e-06 3.495463150878791e-06 3.3689624847554807e-06 3.2006904626233595e-06 2.9926235564245175e-06 2.736663534147976e-06 2.406454774842687e-06
430.02098 3.917021868939922e-06 4.03862985767583e-06 4.017106399464254e-06 3.892984710370989e-06 3.704618223253168e-06 3.474892203001987e-06 3.2116199153045103e-06 2.909179035057556e-06 2.5441193163029486e-06
430.02184 4.818842573895578e-06 4.961285051785568e-06 4.834953513861827e-06 4.588469666964991e-06 4.2854477185439325e-06 3.954457959432876e-06 3.604490350933743e-06 3.2276661424423416e-06 2.799412679606509e-06
430.0227 6.444574073961711e-06 6.340736905546879e-06 5.969216671454525e-06 5.525065850882795e-06 5.062352297005164e-06 4.601160016064727e-06 4.1451176417082435e-06 3.6789408400946313e-06 3.1704692088290107e-06
430.02356 8.461146808126207e-06 7.897047567706592e-06 7.213750048893414e-06 6.546242514362673e-06 5.915087790360884e-06 5.323810080978525e-06 4.7660639704684325e-06 4.217116270516267e-06 3.6349829444655915e-06
430.02442 1.0213407919110794e-05 9.23775162695334e-06 8.297265850753052e-06 7.450019201743163e-06 6.686970773614797e-06 5.996748163221265e-06 5.364976532718817e-06 4.760226460315776e-06 4.133387130367666e-06
430.02528 1.1290407151839455e-05 1.0099623145687045e-05 9.025950171968476e-06 8.084816104877888e-06 7.253793377264465e-06 6.5139038790529936e-06 5.847505123454077e-06 5.221642928272752e-06 4.585966113792282e-06
430.02614 1.164527171446139e-05 1.0425552363841321e-05 9.344052674036993e-06 8.397967922609277e-06 7.565015219814716e-06 6.8260739339637905e-06 6.163941118875218e-06 5.547838711378127e-06 4.931304127099544e-06
430.027 1.1409783241914535e-05 1.0287736864093419e-05 9.292324791132359e-06 8.412624502862338e-06 7.63174784686054e-06 6.935088870217705e-06 6.308261964042657e-06 5.724320207062819e-06 5.142289042922601e-06
430.02786 1.0761889465724707e-05 9.80955334000937e-06 8.95677601071782e-06 8.189300027423447e-06 7.496981590624643e-06 6.87060838277042e-06 6.299488350667884e-06 5.760938181341224e-06 5.217758555330139e-06
430.02872 9.885400963910011e-06 9.128105316712975e-06 8.440527850233318e-06 7.805679480824048e-06 7.219035359010302e-06 6.676445377363216e-06 6.170600882084016e-06 5.682260874426965e-06 5.174913278536204e-06
430.02958 8.940992985826644e-06 8.370109590279301e-06 7.843129850399992e-06 7.339604581831103e-06 6.859109123590297e-06 6.4011748412216324e-06 5.960947868459541e-06 5.521287555662894e-06 5.044220594890419e-06
