# M0 100G vt1 mean contrast spectra for all mus -- with molecular opacities, fixed rows
wavelength   i10       i09         i08        i07       i06        i05        i04  i03    
2.3150e+02 1.4327e-10 1.4106e-10 1.4162e-10 1.4370e-10 1.4637e-10 1.5134e-10 1.5871e-10 1.6838e-10 1.7938e-10
2.3250e+02 1.5064e-10 1.4851e-10 1.4944e-10 1.5189e-10 1.5502e-10 1.6051e-10 1.6883e-10 1.7960e-10 1.9223e-10
2.3350e+02 1.6278e-10 1.6039e-10 1.6118e-10 1.6366e-10 1.6685e-10 1.7253e-10 1.8145e-10 1.9320e-10 2.0798e-10
2.3450e+02 1.7414e-10 1.7231e-10 1.7384e-10 1.7717e-10 1.8137e-10 1.8811e-10 1.9832e-10 2.1119e-10 2.2586e-10
2.3550e+02 1.7959e-10 1.7721e-10 1.7863e-10 1.8190e-10 1.8640e-10 1.9375e-10 2.0517e-10 2.2001e-10 2.3805e-10
2.3650e+02 1.9632e-10 1.9417e-10 1.9580e-10 1.9957e-10 2.0426e-10 2.1190e-10 2.2381e-10 2.3912e-10 2.5775e-10
2.3750e+02 2.0696e-10 2.0447e-10 2.0608e-10 2.1007e-10 2.1499e-10 2.2329e-10 2.3602e-10 2.5281e-10 2.7372e-10
2.3850e+02 2.2925e-10 2.2695e-10 2.2912e-10 2.3343e-10 2.3874e-10 2.4752e-10 2.6068e-10 2.7794e-10 2.9952e-10
2.3950e+02 2.3737e-10 2.3493e-10 2.3691e-10 2.4137e-10 2.4697e-10 2.5609e-10 2.7050e-10 2.8962e-10 3.1409e-10
2.4050e+02 2.6202e-10 2.5842e-10 2.5968e-10 2.6344e-10 2.6845e-10 2.7709e-10 2.9133e-10 3.1099e-10 3.3762e-10
2.4150e+02 2.6915e-10 2.6652e-10 2.6892e-10 2.7406e-10 2.8075e-10 2.9123e-10 3.0770e-10 3.2944e-10 3.5732e-10
2.4250e+02 2.8441e-10 2.8097e-10 2.8257e-10 2.8731e-10 2.9336e-10 3.0388e-10 3.2075e-10 3.4380e-10 3.7494e-10
2.4350e+02 3.0813e-10 3.0414e-10 3.0547e-10 3.0978e-10 3.1612e-10 3.2660e-10 3.4421e-10 3.6847e-10 4.0218e-10
2.4450e+02 3.3447e-10 3.2955e-10 3.3047e-10 3.3482e-10 3.4078e-10 3.5168e-10 3.6973e-10 3.9463e-10 4.3037e-10
2.4550e+02 3.5765e-10 3.5203e-10 3.5306e-10 3.5692e-10 3.6305e-10 3.7382e-10 3.9249e-10 4.1922e-10 4.5770e-10
2.4650e+02 3.5952e-10 3.5521e-10 3.5711e-10 3.6288e-10 3.7021e-10 3.8307e-10 4.0418e-10 4.3370e-10 4.7561e-10
2.4750e+02 4.0908e-10 4.0360e-10 4.0505e-10 4.1028e-10 4.1719e-10 4.2981e-10 4.5083e-10 4.8056e-10 5.2228e-10
2.4850e+02 4.1557e-10 4.1436e-10 4.2045e-10 4.3032e-10 4.4311e-10 4.6163e-10 4.8857e-10 5.2309e-10 5.6389e-10
2.4950e+02 4.3971e-10 4.3746e-10 4.4240e-10 4.5177e-10 4.6378e-10 4.8229e-10 5.0967e-10 5.4531e-10 5.8898e-10
2.5050e+02 4.6333e-10 4.5829e-10 4.6075e-10 4.6778e-10 4.7695e-10 4.9296e-10 5.1907e-10 5.5575e-10 6.0664e-10
2.5130e+02 4.8248e-10 4.7918e-10 4.8404e-10 4.9350e-10 5.0562e-10 5.2521e-10 5.5450e-10 5.9370e-10 6.4425e-10
2.5180e+02 5.0127e-10 4.8638e-10 4.8555e-10 4.9049e-10 5.0492e-10 5.3064e-10 5.7040e-10 6.4201e-10 7.9331e-10
2.5250e+02 5.3154e-10 5.1679e-10 5.1684e-10 5.2301e-10 5.3898e-10 5.6873e-10 6.1287e-10 6.9060e-10 8.5200e-10
2.5350e+02 5.9031e-10 5.6812e-10 5.6092e-10 5.5895e-10 5.6655e-10 5.8637e-10 6.1936e-10 6.8555e-10 8.3223e-10
2.5450e+02 6.4262e-10 6.1670e-10 6.0598e-10 6.0139e-10 6.0585e-10 6.2349e-10 6.5204e-10 7.1195e-10 8.5838e-10
2.5550e+02 6.5375e-10 6.2376e-10 6.0930e-10 5.9805e-10 5.9723e-10 6.0877e-10 6.3014e-10 6.8582e-10 8.2747e-10
2.5650e+02 6.0239e-10 5.7614e-10 5.6576e-10 5.6069e-10 5.6407e-10 5.7924e-10 6.0585e-10 6.6482e-10 8.1072e-10
2.5750e+02 6.7044e-10 6.3757e-10 6.2167e-10 6.1104e-10 6.1063e-10 6.2099e-10 6.4235e-10 6.9604e-10 8.3901e-10
2.5850e+02 6.4165e-10 6.1132e-10 5.9735e-10 5.8846e-10 5.8942e-10 6.0179e-10 6.2483e-10 6.8099e-10 8.2929e-10
2.5950e+02 7.0432e-10 6.7083e-10 6.5391e-10 6.4271e-10 6.4232e-10 6.5381e-10 6.7660e-10 7.3468e-10 8.8914e-10
